risk_category,task_count,pairs,utility_rate,attack_success_rate,utility_and_attack_rate,safe_utility_rate,utility_count,attack_success_count,utility_and_attack_count,safe_utility_count
Note mutation,3,30,0.8666666666666667,0.8333333333333334,0.7666666666666667,0.1,26,25,23,3
Memory contamination,5,50,0.98,0.64,0.64,0.34,49,32,32,17
Course-plan tampering,6,60,0.8833333333333333,0.55,0.5333333333333333,0.35,53,33,32,21
Privilege change,6,60,0.9666666666666667,0.55,0.55,0.4166666666666667,58,33,33,25
Approval misuse,5,50,0.9,0.54,0.54,0.36,45,27,27,18
Payout setting change,4,40,0.925,0.525,0.525,0.4,37,21,21,16
Workflow contamination,6,60,0.85,0.48333333333333334,0.36666666666666664,0.48333333333333334,51,29,22,29
Data movement,5,50,0.9,0.48,0.48,0.42,45,24,24,21
Unauthorized submission,5,50,0.92,0.42,0.42,0.5,46,21,21,25
Time/settings tampering,5,50,0.94,0.38,0.38,0.56,47,19,19,28
